v1,v2,v3,v4,v5,v6
0.333896762,0.279274902,1.040488149,0.704210831,292.703045,42.78045
32.08820196,26.19500193,170.8143509,148.2525641,89578.82826,15286.83283
22.49534928,18.08071252,119.7489499,102.329139,62799.00111,10551.51019
23.74081213,19.56988145,126.3788921,110.7572014,66275.88966,11420.55675
12.44145582,10.71013241,66.22930145,60.61479192,34732.11231,6250.200099
24.17503304,19.71810742,128.6903699,111.5960973,67488.07977,11507.0582
17.22429421,14.4715161,91.6896696,81.90262301,48084.09318,8445.261729
10.88602166,8.495033931,57.94929636,48.07827714,30389.89428,4957.516854
5.136243662,3.968660526,27.34164191,22.46092979,14338.56249,2316.02388
6.876687496,5.331436644,36.60650456,30.17366271,19197.26163,3111.310353
9.859508698,8.329765199,52.48488466,47.14292645,27524.23578,4861.06962
11.59378159,9.473841222,61.71689767,53.61790989,32365.70784,5528.727479
2.393377283,1.825325898,12.74060752,10.33056785,6681.45672,1065.220454
13.84985534,11.07263657,73.72660064,62.6664112,38663.86203,6461.749634
11.73464527,9.437913237,62.46675393,53.41457279,32758.94907,5507.760689
5.163063539,3.944892782,27.48441151,22.32641447,14413.43403,2302.153542
4.619308347,3.664930866,24.58985262,20.74194916,12895.46325,2138.773863
6.348953026,5.212413678,33.79722839,29.50004337,17724.015,3041.851141
1.405195379,1.086407001,7.480242643,6.148601322,3922.80489,634.003473
0.500795921,0.32344399,2.665874838,1.83055535,1398.0438,188.754871
0.431135446,0.274434534,2.295052911,1.553182679,1203.57657,160.154019
1.404958035,1.026158533,7.478979196,5.807620633,3922.14231,598.843779
0.743598872,0.538827656,3.958381927,3.049535244,2075.86314,314.448089
2.303423892,1.796030771,12.26176081,10.1647699,6430.3389,1048.124456
0.306529826,0.191892291,1.631742821,1.086028708,855.72207,111.984163
0.568201628,0.375125015,3.02469401,2.123047959,1586.21652,218.914792
0.743242856,0.55623891,3.956486756,3.148075535,2074.86927,324.608918
1.273350766,1.017406844,6.778397396,5.758089799,3554.7417,593.736484
1.318090117,1.009760632,7.016557304,5.714815492,3679.63803,589.274321
0.374884909,0.302071445,1.995615785,1.70959584,1046.54511,176.282319
1.371644642,0.973889371,5.24140537,4.165351162,1809.822935,221.520636
5.676463982,3.98422518,21.69122227,17.04063877,7489.836938,906.250876
9.053604578,6.809845286,34.59614117,29.12589234,11945.82089,1548.965728
8.230617793,6.322432834,31.45129794,27.04121611,10859.92713,1438.099012
10.57553768,8.008990102,40.41183721,34.25466713,13953.94263,1821.722912
16.44563678,12.36815593,62.84298887,52.8989372,21699.27234,2813.257696
12.22241118,9.264786611,46.70496252,39.62574274,16126.91757,2107.366076
20.06005915,15.12995193,76.65462218,64.71121333,26468.33883,3441.455132
12.36999984,8.789016342,47.26893659,37.59086044,16321.65412,1999.147488
3.865803062,2.544856397,14.77222329,10.88441959,5100.751922,578.852408
5.844151101,4.018735935,22.33199769,17.18824221,7711.092492,914.100684
6.680186884,4.399497678,25.52670447,18.81677047,8814.203814,1000.708656
7.109903877,4.851879634,27.16876312,20.75162033,9381.195909,1103.607344
4.37381404,3.02041877,16.71346331,12.91841271,5771.049383,687.023708
4.168179835,2.805038391,15.92768237,11.99722501,5499.72437,638.03334
5.019964409,3.35149334,19.18256931,14.3344276,6623.615507,762.329848
8.065480478,5.735646037,30.82026598,24.53151312,10642.03592,1304.628632
7.15205064,5.003124061,27.3298167,21.39849683,9436.806652,1138.009364
1.911003213,1.230225286,7.302432567,5.261706799,2521.482123,279.82674
1.158960978,0.751440523,4.428686637,3.213931428,1529.196481,170.922476
2.46851039,1.639468797,9.432810233,7.012052356,3257.087574,372.913168
1.523432983,0.946966824,5.821427485,4.050202699,2010.100771,215.39684
5.660115238,3.912085226,21.62874953,16.73209424,7468.265511,889.84194
4.391062715,2.915535178,16.77937492,12.46982275,5793.808228,663.166912
5.882698141,4.03079391,22.47929579,17.23981449,7761.953563,916.843388
4.983967174,3.366877653,19.04501466,14.40022672,6576.118787,765.82916
14.25100536,10.0557274,54.45674028,43.00861786,18803.55564,2287.273272
15.5992518,11.2368892,59.60873513,48.06047881,20582.50571,2555.940044
0.884482062,0.532006169,3.379832419,2.275404765,1167.033991,121.009992
10.87157528,9.427629404,27.75112637,18.85525881,9447.354972,1017.7496
3.748467765,2.921843613,9.568457191,5.843687226,3257.403336,315.424487
4.153424535,3.229444072,10.60216263,6.458888145,3609.309132,348.631164
3.131835479,2.438196605,7.994422145,4.876393209,2721.552372,263.212894
3.428407593,2.701063924,8.751461487,5.402127849,2979.27234,291.590453
3.11910099,2.348730326,7.961915684,4.697460651,2710.486152,253.554658
6.362716989,5.237144334,16.24167231,10.47428867,5529.175344,565.370288
3.490665098,2.785239187,8.91038196,5.570478374,3033.37386,300.677503
3.242767033,2.570712518,8.277589532,5.141425036,2817.951444,277.518507
3.072407861,2.514916344,7.84272533,5.029832688,2669.910012,271.495091
1.469277113,1.06132981,3.750523157,2.12265962,1276.795872,114.574719
8.281097102,7.171732368,21.13858997,14.34346474,7196.239908,774.21666
3.717622002,3.012993397,9.48971932,6.025986795,3230.598492,325.264464
3.527736612,2.939881169,9.005011878,5.879762339,3065.588856,317.371712
3.331625472,2.63564772,8.504412389,5.271295441,2895.169068,284.528517
2.836112332,2.318908233,7.239549899,4.637816465,2464.570152,250.335246
1.579359701,1.315539103,4.031523447,2.631078206,1372.457196,142.01761
6.260841072,5.130362001,15.98162063,10.260724,5440.645584,553.842716
6.959540069,5.862205784,17.76514175,11.72441157,6047.812188,632.848125
5.224536606,4.433871829,13.33631713,8.867743658,4540.101192,478.653868
4.435281239,3.561816109,11.32163895,7.123632218,3854.241468,384.51203
1.079035753,0.842714628,2.754380739,1.685429257,937.677708,90.974352
2.043744089,1.629392582,5.216925701,3.258785164,1776.005352,175.899325
1.427111803,1.080810371,3.642890655,2.161620742,1240.154388,116.677722
1.329480716,0.96825602,3.393674459,1.93651204,1155.313368,104.527038
0.760107536,0.503849071,1.940274499,1.007698143,660.530376,54.392485
10.85261504,9.02551215,27.70272786,18.0510243,9430.8786,974.339464
9.818574482,8.106558784,25.06320328,16.21311757,8532.301536,875.134841
5.010314192,4.003856488,12.78948623,8.007712976,4353.94278,432.232024
0.605595728,0.446128891,1.54586278,0.892257783,526.26024,48.161365
32.71999762,28.68404346,83.52209918,57.36808693,28433.54567,3096.555084
25.23324968,23.34853432,64.41118997,46.69706865,21927.59197,2520.565929
17.46407906,15.17824284,44.5793597,30.35648568,15176.21411,1638.550893
18.14834563,16.34948149,46.32604017,32.69896299,15770.839,1764.990703
27.60243072,23.06378143,70.45883632,46.12756287,23986.40072,2489.825737
8.982908974,8.425222278,22.93005712,16.85044456,7806.111588,909.535816
10.67801104,9.72440733,27.25702817,19.44881466,9279.148428,1049.787942
20.63712726,18.97196899,114.3886482,85.16764342,39750.96182,7261.683893
19.26898403,17.25413436,106.8052257,77.45605968,37115.66241,6604.16795
4.593256062,3.837757734,25.45976217,17.22819505,8847.46913,1468.934697
8.153795084,6.972746215,45.19532132,31.30156725,15705.73235,2668.878433
7.75816907,6.821499661,43.00242285,30.62260174,14943.68275,2610.987517
4.408852494,3.668223199,24.43763954,16.4671324,8492.273415,1404.043899
7.596685183,6.648917128,42.10734073,29.84785624,14632.63462,2544.930072
9.604296998,8.337425087,53.23524622,37.42778871,18499.66997,3191.220979
5.859925023,5.071043223,32.48072727,22.76457447,11287.31015,1940.985298
10.68494565,9.396068585,59.22512732,42.18017745,20581.20112,3596.42586
2.490066327,1.896925051,13.80208193,8.515543979,4796.332855,726.064337
3.325921384,2.667903535,18.4351071,11.97656696,6406.34582,1021.162966
0.617975442,0.455387227,3.425349592,2.044292661,1190.33613,174.303368
10.73976533,7.852429461,42.35115008,24.2116575,11637.24514,1847.35408
7.898607555,6.099061254,31.14733923,18.80543887,8558.663022,1434.858568
4.659305212,3.110917698,18.37348659,9.591996234,5048.664964,731.87114
3.46026336,2.256454435,13.64518948,6.957401174,3749.423916,530.851035
4.266229617,2.734122579,16.82343377,8.430211284,4622.741592,643.226727
2.955900829,1.834098599,11.65628817,5.655137348,3202.913798,431.488057
3.942967565,2.424789293,15.54868342,7.476433653,4272.465806,570.453312
6.249118582,4.117729602,24.64275063,12.69633294,6771.332764,968.732622
4.699856973,3.060561116,18.53339825,9.436730108,5092.605476,720.024305
2.645311203,1.579118449,10.43151021,4.868948551,2866.369422,371.501702
0.768179388,0.464879171,3.029235698,1.433377443,832.373108,109.366972
0.714494385,0.465838344,2.817534463,1.436334893,774.201862,109.592626
10.49180512,11.73491059,43.93443395,43.8333425,26434.28971,3867.586785
5.440624506,5.989861531,22.78261512,22.37389454,13707.75026,1974.135987
1.98502734,1.928443833,8.312301985,7.203304906,5001.311705,635.575689
1.722509978,1.649834021,7.213010531,6.162615314,4339.89454,543.751587
4.422849306,4.784256763,18.52068147,17.87060614,11143.44753,1576.793286
